complaint_id,text,category,priority,sentiment,resolution_time,cleaned_text
1,Need bulk order details,Trade,Medium,-0.6751701584752385,60,need bulk order detail
2,Box was broken,Packaging,High,0.2741071383449558,21,box broken
3,Product stopped working,Product,Low,-0.6148656308840621,70,product stopped working
4,Poor packaging quality,Packaging,Medium,-0.2081608860349595,20,poor packaging quality
5,Need bulk order details,Trade,Low,0.3610096179289606,52,need bulk order detail
6,Inquiry about pricing,Trade,High,0.6956728319931325,17,inquiry pricing
7,Damaged packaging,Packaging,Low,-0.4978909194805767,44,damaged packaging
8,Trade-related query,Trade,Low,0.0170670970033999,67,traderelated query
9,Product malfunctioning,Product,Low,-0.3147558929004967,71,product malfunctioning
10,Poor packaging quality,Packaging,Low,-0.1506938806305058,36,poor packaging quality
11,Damaged packaging,Packaging,High,0.2181602959980466,25,damaged packaging
12,Defective item received,Product,Medium,-0.6247638315192594,47,defective item received
13,Trade-related query,Trade,Low,-0.6035484147310686,47,traderelated query
14,Inquiry about pricing,Trade,High,-0.457827313029415,22,inquiry pricing
15,Inquiry about pricing,Trade,Medium,-0.918968392050072,64,inquiry pricing
16,Inquiry about pricing,Trade,High,0.0235010281800474,59,inquiry pricing
17,Damaged packaging,Packaging,Low,0.8441274864601493,49,damaged packaging
18,Product malfunctioning,Product,High,0.937021779397609,15,product malfunctioning
19,Product malfunctioning,Product,High,-0.5767633593692278,49,product malfunctioning
20,Product malfunctioning,Product,High,-0.3363379001462399,30,product malfunctioning
21,Product stopped working,Product,Low,0.4103024151152559,14,product stopped working
22,Box was broken,Packaging,Medium,0.3581902091329814,13,box broken
23,Inquiry about pricing,Trade,Medium,0.3301822512212704,10,inquiry pricing
24,Box was broken,Packaging,High,-0.7085340414366206,51,box broken
25,Inquiry about pricing,Trade,Low,-0.2781773282540123,60,inquiry pricing
26,Poor packaging quality,Packaging,Low,-0.9940726652930176,8,poor packaging quality
27,Damaged packaging,Packaging,Medium,-0.1879553450925479,13,damaged packaging
28,Product stopped working,Product,Medium,0.1059428905505162,51,product stopped working
29,Need bulk order details,Trade,Low,0.6978505331386213,9,need bulk order detail
30,Poor packaging quality,Packaging,Medium,0.0222664775579717,51,poor packaging quality
31,Poor packaging quality,Packaging,High,0.2885220855314832,44,poor packaging quality
32,Poor packaging quality,Packaging,Medium,0.6368038912998082,48,poor packaging quality
33,Product stopped working,Product,Low,0.3429042223807901,27,product stopped working
34,Poor packaging quality,Packaging,Medium,0.2379771789113773,70,poor packaging quality
35,Damaged packaging,Packaging,Low,-0.422072572073638,66,damaged packaging
36,Product malfunctioning,Product,Low,-0.1190208200096625,7,product malfunctioning
37,Box was broken,Packaging,Low,-0.1514051818620612,50,box broken
38,Trade-related query,Trade,Low,-0.9803063979791647,47,traderelated query
39,Defective item received,Product,Low,0.7297935319341367,60,defective item received
40,Box was broken,Packaging,Low,0.0689533950486969,9,box broken
41,Product stopped working,Product,Medium,-0.1350545498922801,27,product stopped working
42,Inquiry about pricing,Trade,Medium,-0.4014582071472024,28,inquiry pricing
43,Defective item received,Product,Medium,0.5029543638827634,61,defective item received
44,Trade-related query,Trade,High,0.765834422004191,71,traderelated query
45,Damaged packaging,Packaging,Medium,-0.7710479849061569,41,damaged packaging
46,Box was broken,Packaging,Low,-0.4444781439715279,32,box broken
47,Trade-related query,Trade,Medium,-0.4510213619570111,35,traderelated query
48,Damaged packaging,Packaging,Medium,0.1844982211778383,9,damaged packaging
49,Box was broken,Packaging,Low,0.8392408413687205,8,box broken
50,Defective item received,Product,Medium,0.2705778147333981,20,defective item received
51,Inquiry about pricing,Trade,Medium,-0.6111719434236078,30,inquiry pricing
52,Poor packaging quality,Packaging,Low,0.660926264631224,62,poor packaging quality
53,Damaged packaging,Packaging,High,-0.0050505948172738,9,damaged packaging
54,Inquiry about pricing,Trade,Low,0.8924504480393656,53,inquiry pricing
55,Product malfunctioning,Product,High,-0.7641107348783422,57,product malfunctioning
56,Product malfunctioning,Product,Low,0.7438051650229338,5,product malfunctioning
57,Inquiry about pricing,Trade,High,-0.4576564443600552,27,inquiry pricing
58,Need bulk order details,Trade,High,-0.0826151699936035,27,need bulk order detail
59,Inquiry about pricing,Trade,High,-0.8845417184405688,9,inquiry pricing
60,Inquiry about pricing,Trade,Low,0.0977097014282364,28,inquiry pricing
61,Box was broken,Packaging,High,0.8066272955966565,45,box broken
62,Damaged packaging,Packaging,Medium,-0.0552703391556272,61,damaged packaging
63,Inquiry about pricing,Trade,Medium,0.1599678544005602,4,inquiry pricing
64,Poor packaging quality,Packaging,Medium,0.8911189072101153,72,poor packaging quality
65,Product malfunctioning,Product,High,0.8565345950670058,41,product malfunctioning
66,Poor packaging quality,Packaging,High,0.340751731098462,9,poor packaging quality
67,Inquiry about pricing,Trade,Low,0.8608201075719262,65,inquiry pricing
68,Poor packaging quality,Packaging,Medium,-0.8752457625295866,52,poor packaging quality
69,Product malfunctioning,Product,Low,-0.806510339487817,16,product malfunctioning
70,Trade-related query,Trade,Medium,-0.7671274906449552,62,traderelated query
71,Product stopped working,Product,Medium,-0.3706835680989924,60,product stopped working
72,Damaged packaging,Packaging,High,-0.4122079273245409,16,damaged packaging
73,Product malfunctioning,Product,High,-0.8310490849215502,70,product malfunctioning
74,Damaged packaging,Packaging,Low,-0.210432615413866,3,damaged packaging
75,Need bulk order details,Trade,Low,0.2104987297695937,36,need bulk order detail
76,Product malfunctioning,Product,Low,0.4166356174378582,9,product malfunctioning
77,Poor packaging quality,Packaging,Medium,-0.9391075465150368,62,poor packaging quality
78,Product stopped working,Product,High,-0.3308294996489562,13,product stopped working
79,Box was broken,Packaging,Medium,-0.287344560334033,46,box broken
80,Defective item received,Product,Medium,-0.6193722902695857,18,defective item received
81,Inquiry about pricing,Trade,Low,0.2213885049629549,43,inquiry pricing
82,Box was broken,Packaging,Medium,-0.4358627438174161,36,box broken
83,Box was broken,Packaging,High,-0.2932647517391842,54,box broken
84,Damaged packaging,Packaging,Medium,0.3972882206773735,17,damaged packaging
85,Trade-related query,Trade,Low,-0.6959131387269026,53,traderelated query
86,Damaged packaging,Packaging,Low,0.090183072537437,47,damaged packaging
87,Poor packaging quality,Packaging,Low,-0.4015269030542285,12,poor packaging quality
88,Poor packaging quality,Packaging,Medium,-0.4706947645386961,13,poor packaging quality
89,Poor packaging quality,Packaging,High,-0.3006841404701672,10,poor packaging quality
90,Need bulk order details,Trade,Low,0.4500062247783432,67,need bulk order detail
91,Defective item received,Product,Medium,0.2174873272182238,45,defective item received
